Size: 1000	Height: 10
Size: 2000	Height: 11
Size: 3000	Height: 12
Size: 4000	Height: 12
Size: 5000	Height: 13
Size: 6000	Height: 13
Size: 7000	Height: 13
Size: 8000	Height: 13
Size: 9000	Height: 14
Size: 10000	Height: 14
Size: 11000	Height: 14
Size: 12000	Height: 14
Size: 13000	Height: 14
Size: 14000	Height: 14
Size: 15000	Height: 14
Size: 16000	Height: 14
Size: 17000	Height: 15
Size: 18000	Height: 15
Size: 19000	Height: 15
Size: 20000	Height: 15
