Size: 1000	Height: 16
Size: 2000	Height: 18
Size: 3000	Height: 20
Size: 4000	Height: 20
Size: 5000	Height: 20
Size: 6000	Height: 22
Size: 7000	Height: 21
Size: 8000	Height: 21
Size: 9000	Height: 22
Size: 10000	Height: 22
Size: 11000	Height: 22
Size: 12000	Height: 22
Size: 13000	Height: 22
Size: 14000	Height: 24
Size: 15000	Height: 24
Size: 16000	Height: 24
Size: 17000	Height: 25
Size: 18000	Height: 23
Size: 19000	Height: 25
Size: 20000	Height: 23
